model,runtime,inference_time,fps,accurate_time,device,half,int8,mAP50,mAP75
yolov8n.pt,BASE,1502.8,0.7,1502.7588844299316,cpu,False,False,0.8879474081130428,0.6375569549426173
yolov8s.pt,BASE,3708.4,0.3,3708.3626747131348,cpu,False,False,0.9469403013347323,0.8068723893065998
yolov8m.pt,BASE,9178.2,0.1,9178.194522857666,cpu,False,False,0.9287745098039216,0.8472408451363828
yolov8l.pt,BASE,18869.1,0.1,18869.11973953247,cpu,False,False,0.9758593750000001,0.861819577991453
yolov8x.pt,BASE,28427.6,0.0,28427.60829925537,cpu,False,False,0.9773658192090395,0.8856308851224105
./exported_models/yolov8m_ncnn_int8_ncnn_model,ncnn,2512.7,0.4,2512.688159942627,cpu,False,True,0.938966888083736,0.8350651311249138
./exported_models/yolov8s_ncnn_base_ncnn_model,ncnn,979.8,1.0,979.8128128051758,cpu,False,False,0.9168465429318852,0.8037371653832052
./exported_models/yolov8x_ncnn_half_ncnn_model,ncnn,6816.4,0.1,6816.384983062744,cpu,True,False,0.9773012820512821,0.8761033781033781
./exported_models/yolov8s_ncnn_int8_ncnn_model,ncnn,994.3,1.0,994.3432807922363,cpu,False,True,0.9168465429318852,0.8037371653832052
./exported_models/yolov8x_ncnn_int8_ncnn_model,ncnn,6618.3,0.2,6618.259000778198,cpu,False,True,0.9772964376590331,0.8784099721313462
./exported_models/yolov8m_ncnn_base_ncnn_model,ncnn,2394.8,0.4,2394.842290878296,cpu,False,False,0.938966888083736,0.8350651311249138
./exported_models/yolov8s_ncnn_half_ncnn_model,ncnn,1017.0,1.0,1017.0416355133057,cpu,True,False,0.9171141317016317,0.8038082264957266
./exported_models/yolov8n_ncnn_base_ncnn_model,ncnn,423.2,2.4,423.1934070587158,cpu,False,False,0.808564761582811,0.6919060274941214
./exported_models/yolov8x_ncnn_base_ncnn_model,ncnn,6678.0,0.1,6677.98638343811,cpu,False,False,0.9772964376590331,0.8784099721313462
./exported_models/yolov8n_ncnn_half_ncnn_model,ncnn,441.8,2.3,441.8358325958252,cpu,True,False,0.8085765697786598,0.6918596743295019
./exported_models/yolov8m_ncnn_half_ncnn_model,ncnn,2358.1,0.4,2358.1493854522705,cpu,True,False,0.9389644644644645,0.8350517327503629
./exported_models/yolov8l_ncnn_half_ncnn_model,ncnn,4362.0,0.2,4361.965751647949,cpu,True,False,0.9740972222222223,0.8680266203703705
./exported_models/yolov8n_ncnn_int8_ncnn_model,ncnn,430.8,2.3,430.7520389556885,cpu,False,True,0.808564761582811,0.6919060274941214
./exported_models/yolov8l_ncnn_base_ncnn_model,ncnn,4417.6,0.2,4417.613410949707,cpu,False,False,0.9741043613707165,0.8680387352890274
./exported_models/yolov8l_ncnn_int8_ncnn_model,ncnn,4310.8,0.2,4310.797119140625,cpu,False,True,0.9741043613707165,0.8680387352890274
