model,runtime,inference_time,fps,accurate_time,half,int8,mAP50,mAP75
yolov8n.pt,BASE,135.9,7.4,135.8759880065918,False,False,0.8879474081130428,0.6375569549426173
yolov8s.pt,BASE,190.5,5.2,190.47818183898926,False,False,0.9469403013347323,0.8068723893065998
yolov8m.pt,BASE,485.0,2.1,484.97371673583984,False,False,0.9287745098039216,0.8472408451363828
yolov8l.pt,BASE,989.8,1.0,989.8326396942139,False,False,0.9758593750000001,0.861819577991453
yolov8x.pt,BASE,1887.5,0.5,1887.514877319336,False,False,0.9773658192090395,0.8856308851224105
yolov8m_openvino_base_openvino_model,openvino,263.0,3.8,263.0328178405762,False,False,0.938966888083736,0.8350651311249138
yolov8x_openvino_base_openvino_model,openvino,1004.0,1.0,1003.9962768554688,False,False,0.9772964376590331,0.8784099721313462
yolov8n_ncnn_half_ncnn_model,ncnn,52.8,18.9,52.77566909790039,True,False,0.8085765697786598,0.6918596743295019
yolov8x_onnx_int8.onnx,onnx,1088.6,0.9,1088.6231422424316,False,True,0.9772964376590331,0.8784099721313462
yolov8x_onnx_base.onnx,onnx,1061.7,0.9,1061.7000102996826,False,False,0.9772964376590331,0.8784099721313462
yolov8l_openvino_half_openvino_model,openvino,595.4,1.7,595.362138748169,True,False,0.9757710280373831,0.8680387352890274
yolov8l_onnx_base.onnx,onnx,675.4,1.5,675.4443645477295,False,False,0.9741043613707165,0.8680387352890274
yolov8m_tflite_base.tflite,tflite,870.0,1.1,870.0390815734863,False,False,0.938966888083736,0.8350651311249138
yolov8m_ncnn_int8_ncnn_model,ncnn,415.9,2.4,415.93003273010254,False,True,0.938966888083736,0.8350651311249138
yolov8s_openvino_base_openvino_model,openvino,79.5,12.6,79.52389717102051,False,False,0.9168465429318852,0.8037371653832052
yolov8m_ncnn_base_ncnn_model,ncnn,430.6,2.3,430.63158988952637,False,False,0.938966888083736,0.8350651311249138
yolov8n_ncnn_base_ncnn_model,ncnn,56.7,17.6,56.697940826416016,False,False,0.808564761582811,0.6919060274941214
yolov8n_ncnn_int8_ncnn_model,ncnn,71.4,14.0,71.37017250061035,False,True,0.808564761582811,0.6919060274941214
yolov8x_tflite_base.tflite,tflite,3225.9,0.3,3225.939702987671,False,False,0.9772964376590331,0.8784099721313462
