model,runtime,inference_time,fps,accurate_time,half,int8
yolov8n.pt,BASE,71.2,14.0,71.17924690246582,False,False
yolov8s.pt,BASE,192.7,5.2,192.74344444274902,False,False
yolov8m.pt,BASE,485.3,2.1,485.29086112976074,False,False
yolov8l.pt,BASE,974.2,1.0,974.2300987243652,False,False
yolov8x.pt,BASE,1907.0,0.5,1907.030725479126,False,False
./exported_models/yolov8m_openvino_base_openvino_model,openvino,209.3,4.8,209.28573608398438,False,False
./exported_models/yolov8x_openvino_base_openvino_model,openvino,712.2,1.4,712.1620178222656,False,False
./exported_models/yolov8n_ncnn_half_ncnn_model,ncnn,39.9,25.1,39.87460136413574,True,False
./exported_models/yolov8x_onnx_int8.onnx,onnx,1311.3,0.8,1311.2854957580566,False,True
./exported_models/yolov8x_onnx_base.onnx,onnx,1128.9,0.9,1128.8795471191406,False,False
./exported_models/yolov8l_openvino_half_openvino_model,openvino,608.8,1.6,608.7859630584717,True,False
./exported_models/yolov8l_onnx_base.onnx,onnx,687.3,1.5,687.2759342193604,False,False
./exported_models/yolov8m_tflite_base.tflite,tflite,854.1,1.2,854.076099395752,False,False
./exported_models/yolov8m_ncnn_int8_ncnn_model,ncnn,413.1,2.4,413.0988597869873,False,True
./exported_models/yolov8s_openvino_base_openvino_model,openvino,85.5,11.7,85.49818992614746,False,False
./exported_models/yolov8m_ncnn_base_ncnn_model,ncnn,426.5,2.3,426.45297050476074,False,False
./exported_models/yolov8n_ncnn_base_ncnn_model,ncnn,63.5,15.7,63.535308837890625,False,False
./exported_models/yolov8n_ncnn_int8_ncnn_model,ncnn,61.0,16.4,60.95871925354004,False,True
./exported_models/yolov8x_tflite_base.tflite,tflite,3124.1,0.3,3124.1177558898926,False,False
./exported_models/yolov8x_ncnn_int8_ncnn_model,ncnn,1174.0,0.9,1174.0281581878662,False,True
./exported_models/yolov8m_openvino_half_openvino_model,openvino,254.8,3.9,254.76751327514648,True,False
./exported_models/yolov8s_onnx_int8.onnx,onnx,135.6,7.4,135.569429397583,False,True
./exported_models/yolov8l_onnx_int8.onnx,onnx,673.7,1.5,673.7465381622314,False,True
./exported_models/yolov8x_ncnn_base_ncnn_model,ncnn,1137.3,0.9,1137.2549533843994,False,False
./exported_models/yolov8x_tflite_int8.tflite,tflite,3133.3,0.3,3133.3359718322754,False,True
./exported_models/yolov8m_onnx_int8.onnx,onnx,340.0,2.9,340.0346279144287,False,True
./exported_models/yolov8l_tflite_base.tflite,tflite,2011.4,0.5,2011.4284992218018,False,False
./exported_models/yolov8s_openvino_half_openvino_model,openvino,79.9,12.5,79.92711067199707,True,False
./exported_models/yolov8l_openvino_base_openvino_model,openvino,615.5,1.6,615.5006408691406,False,False
./exported_models/yolov8m_ncnn_half_ncnn_model,ncnn,424.2,2.4,424.1770267486572,True,False
./exported_models/yolov8m_onnx_base.onnx,onnx,324.4,3.1,324.3716239929199,False,False
./exported_models/yolov8s_ncnn_base_ncnn_model,ncnn,206.0,4.9,206.02211952209473,False,False
./exported_models/yolov8s_onnx_base.onnx,onnx,123.5,8.1,123.4896183013916,False,False
./exported_models/yolov8l_ncnn_int8_ncnn_model,ncnn,793.6,1.3,793.6450481414795,False,True
./exported_models/yolov8n_openvino_half_openvino_model,openvino,22.8,43.8,22.836732864379883,True,False
./exported_models/yolov8s_ncnn_int8_ncnn_model,ncnn,190.5,5.3,190.4719352722168,False,True
./exported_models/yolov8l_tflite_int8.tflite,tflite,1955.1,0.5,1955.0562858581543,False,True
./exported_models/yolov8m_tflite_int8.tflite,tflite,1066.7,0.9,1066.7490482330322,False,True
./exported_models/yolov8n_tflite_int8.tflite,tflite,78.8,12.7,78.8261890411377,False,True
./exported_models/yolov8n_openvino_base_openvino_model,openvino,18.8,53.1,18.845272064208984,False,False
./exported_models/yolov8l_ncnn_half_ncnn_model,ncnn,613.4,1.6,613.3500576019287,True,False
./exported_models/yolov8n_onnx_int8.onnx,onnx,64.8,15.4,64.79554176330566,False,True
./exported_models/yolov8s_tflite_int8.tflite,tflite,432.6,2.3,432.57079124450684,False,True
./exported_models/yolov8l_ncnn_base_ncnn_model,ncnn,565.1,1.8,565.0765419006348,False,False
./exported_models/yolov8x_openvino_half_openvino_model,openvino,1011.4,1.0,1011.4030361175537,True,False
./exported_models/yolov8n_onnx_base.onnx,onnx,61.6,16.2,61.60612106323242,False,False
./exported_models/yolov8x_ncnn_half_ncnn_model,ncnn,1113.0,0.9,1112.9569053649902,True,False
./exported_models/yolov8s_tflite_base.tflite,tflite,310.6,3.2,310.5778217315674,False,False
./exported_models/yolov8n_tflite_base.tflite,tflite,91.1,11.0,91.05963706970215,False,False
./exported_models/yolov8s_ncnn_half_ncnn_model,ncnn,195.2,5.1,195.15423774719238,True,False
