model,runtime,inference_time_1,fps,inference_time,device,half,int8,map50,map75,warmup_max_inf_time,warmup_min_inf_time,inference_time_max,inference_time_min
data/models/yolov8n.pt,BASE,249.4,4.0,249.39435005187988,cpu,0,0,0.8879474081130428,0.6375569549426173,165.73834419250488,154.8144817352295,268.8634395599365,248.8229274749756
data/models/yolov8s.pt,BASE,714.2,1.4,714.1562104225159,cpu,0,0,0.9469403013347323,0.8068723893065998,441.70260429382324,435.3818893432617,719.6934223175049,713.214635848999
data/models/yolov8m.pt,BASE,1832.3,0.5,1832.3314237594604,cpu,0,0,0.9287745098039216,0.8472408451363828,1110.4273796081543,1094.1576957702637,1834.9590301513672,1830.7232856750488
data/models/yolov8l.pt,BASE,3635.9,0.3,3635.8544385433197,cpu,0,0,0.9758593750000001,0.861819577991453,2209.5940113067627,2186.9544982910156,3716.226100921631,3603.8715839385986
data/models/yolov8x.pt,BASE,5592.5,0.2,5592.532434463501,cpu,0,0,0.9773658192090395,0.8856308851224105,3368.0057525634766,3356.5003871917725,5701.899290084839,5539.479732513428
data/models/yolov8n_openvino_base_openvino_model,yolov8n,85.0,11.8,85.01448273658752,cpu,0,0,0.808564761582811,0.6919060274941214,87.53776550292969,78.74393463134766,121.67525291442871,81.19010925292969
data/models/yolov8n_openvino_half_openvino_model,yolov8n,84.8,11.8,84.78076457977295,cpu,1,0,0.8085671406431106,0.6919558913308913,86.22574806213379,79.64515686035156,99.67756271362305,83.11057090759277
data/models/yolov8n_openvino_int8_openvino_model,yolov8n,51.2,19.5,51.1847198009491,cpu,0,1,0.8372897202029135,0.6101339465898626,87.3405933380127,50.02093315124512,70.06525993347168,49.41916465759277
data/models/yolov8s_openvino_base_openvino_model,yolov8s,235.5,4.2,235.54737091064453,cpu,0,0,0.9168465429318852,0.8037371653832052,235.6717586517334,221.03071212768555,265.69509506225586,231.9161891937256
data/models/yolov8s_openvino_half_openvino_model,yolov8s,234.7,4.3,234.74164605140686,cpu,1,0,0.9170998657078778,0.8037319832147419,236.83714866638184,226.1040210723877,270.0612545013428,232.54990577697754
data/models/yolov8s_openvino_int8_openvino_model,yolov8s,123.3,8.1,123.3246898651123,cpu,0,1,0.9170343369685474,0.8055044492544492,144.99402046203613,122.87139892578125,156.47196769714355,120.6960678100586
data/models/yolov8m_openvino_base_openvino_model,yolov8m,614.9,1.6,614.9494361877441,cpu,0,0,0.938966888083736,0.8350651311249138,615.6628131866455,603.1315326690674,645.7476615905762,610.5809211730957
data/models/yolov8m_openvino_half_openvino_model,yolov8m,613.6,1.6,613.5819268226624,cpu,1,0,0.9401705917874396,0.8353348229057357,611.6554737091064,601.1292934417725,645.0796127319336,607.337236404419
data/models/yolov8m_openvino_int8_openvino_model,yolov8m,290.0,3.4,289.980171918869,cpu,0,1,0.9392925745246105,0.8397731023966055,318.8605308532715,286.78321838378906,322.15356826782227,286.3025665283203
data/models/yolov8l_openvino_base_openvino_model,yolov8l,1233.1,0.8,1233.081772327423,cpu,0,0,0.9741043613707165,0.8680387352890274,1229.058027267456,1222.2423553466797,1281.5961837768555,1224.430799484253
data/models/yolov8l_openvino_half_openvino_model,yolov8l,1222.1,0.8,1222.1284818649292,cpu,1,0,0.9757710280373831,0.8680387352890274,1246.4346885681152,1214.5655155181885,1254.6255588531494,1215.5368328094482
data/models/yolov8l_openvino_int8_openvino_model,yolov8l,575.5,1.7,575.4524099826813,cpu,0,1,0.9741116352201259,0.8634805508162721,626.2195110321045,571.2425708770752,621.9167709350586,568.7427520751953
data/models/yolov8x_openvino_base_openvino_model,yolov8x,1919.4,0.5,1919.3582451343536,cpu,0,0,0.9772964376590331,0.8784099721313462,1916.9392585754395,1902.949333190918,1960.3726863861084,1892.55952835083
data/models/yolov8x_openvino_half_openvino_model,yolov8x,1907.8,0.5,1907.7899062633514,cpu,1,0,0.9772964376590331,0.8760951573165313,1915.114164352417,1896.552562713623,1947.629451751709,1894.4599628448486
data/models/yolov8x_openvino_int8_openvino_model,yolov8x,864.1,1.2,864.1299891471863,cpu,0,1,0.9789631043256998,0.9071798134011874,914.2904281616211,858.9868545532227,898.3478546142578,856.8296432495117
