model,runtime,inference_time_1,fps,inference_time,device,half,int8,map50,map75,warmup_max_inf_time,warmup_min_inf_time,inference_time_max,inference_time_min
data/models/base.pt,BASE,87.2,11.5,87.24718928337097,cpu,0,0,,,110.48221588134766,97.17583656311035,169.16751861572266,79.70666885375977
data/models/base_cube_openvino_base_openvino_model,base,30.9,32.3,30.919147729873657,cpu,0,0,,,33.16926956176758,19.282102584838867,37.23883628845215,28.371810913085938
data/models/base_cube_openvino_half_openvino_model,base,35.5,28.2,35.47636389732361,cpu,1,0,,,37.1553897857666,24.334430694580078,54.273128509521484,28.318166732788086
data/models/base_cube_openvino_int8_openvino_model,base,22.8,44.0,22.750943899154663,cpu,0,1,,,34.865617752075195,15.445232391357422,27.478933334350586,19.57535743713379
data/models/base_cube_ncnn_base_ncnn_model,base,106.1,9.4,106.10241889953613,cpu,0,0,,,104.9349308013916,72.33142852783203,151.72863006591797,103.38163375854492
data/models/base_cube_ncnn_half_ncnn_model,base,106.6,9.4,106.6472578048706,cpu,1,0,,,101.63688659667969,63.250064849853516,156.8903923034668,100.26431083679199
data/models/base_cube_ncnn_int8_ncnn_model,base,107.1,9.3,107.07472562789917,cpu,0,1,,,106.2612533569336,59.26990509033203,135.93411445617676,104.85649108886719
data/models/base_cube_onnx_base.onnx,base,75.3,13.3,75.33570170402527,cpu,0,0,,,82.97276496887207,60.853004455566406,80.97243309020996,71.03610038757324
data/models/base_cube_onnx_int8.onnx,base,75.9,13.2,75.87886214256287,cpu,0,1,,,107.17296600341797,62.27612495422363,92.07940101623535,71.4712142944336
data/models/base_cube_tflite_base.tflite,base,102.5,9.8,102.49346256256104,cpu,0,0,,,100.65150260925293,85.74104309082031,120.44382095336914,96.62127494812012
data/models/base_cube_tflite_int8.tflite,base,103.2,9.7,103.19473505020142,cpu,0,1,,,111.91892623901367,99.20978546142578,137.7542018890381,98.02627563476562
