model,runtime,inference_time_1,fps,inference_time,device,half,int8,map50,map75,warmup_max_inf_time,warmup_min_inf_time,inference_time_max,inference_time_min
data/models/yolov8n.pt,BASE,103.6,9.7,103.56441378593445,cpu,0,0,0.8879474081130428,0.6375569549426173,124.2518424987793,53.13467979431152,138.8542652130127,92.7586555480957
data/models/yolov8s.pt,BASE,332.0,3.0,332.0082759857178,cpu,0,0,0.9469403013347323,0.8068723893065998,213.62042427062988,197.035551071167,366.23096466064453,322.85451889038086
data/models/yolov8m.pt,BASE,834.0,1.2,834.0170967578888,cpu,0,0,0.9287745098039216,0.8472408451363828,524.6307849884033,493.53694915771484,1249.7179508209229,654.268741607666
data/models/yolov8l.pt,BASE,1652.1,0.6,1652.0674276351929,cpu,0,0,0.9758593750000001,0.861819577991453,1007.3385238647461,977.8428077697754,1692.133903503418,1640.2039527893066
data/models/yolov8x.pt,BASE,3065.0,0.3,3064.9866712093353,cpu,0,0,0.9773658192090395,0.8856308851224105,1528.78999710083,1499.0754127502441,4329.802751541138,2488.0223274230957
data/models/yolov8n_openvino_base_openvino_model,yolov8n,31.9,31.3,31.93285822868347,cpu,0,0,0.808564761582811,0.6919060274941214,59.73672866821289,31.099796295166016,47.39189147949219,29.846668243408203
data/models/yolov8n_openvino_half_openvino_model,yolov8n,34.9,28.6,34.939632415771484,cpu,1,0,0.8085671406431106,0.6919558913308913,63.22073936462402,32.988548278808594,49.84736442565918,32.69767761230469
data/models/yolov8n_openvino_int8_openvino_model,yolov8n,17.0,58.7,17.036951780319214,cpu,0,1,0.8372897202029135,0.6101339465898626,88.67788314819336,15.782356262207031,30.768394470214844,15.48457145690918
data/models/yolov8s_openvino_base_openvino_model,yolov8s,92.5,10.8,92.50290989875793,cpu,0,0,0.9168465429318852,0.8037371653832052,107.58090019226074,81.2678337097168,138.30280303955078,81.04801177978516
data/models/yolov8s_openvino_half_openvino_model,yolov8s,109.4,9.1,109.4334065914154,cpu,1,0,0.9170998657078778,0.8037319832147419,108.12497138977051,85.05535125732422,140.85078239440918,84.77067947387695
data/models/yolov8s_openvino_int8_openvino_model,yolov8s,38.4,26.0,38.42024326324463,cpu,0,1,0.9170343369685474,0.8055044492544492,59.85069274902344,34.095048904418945,51.73945426940918,33.92744064331055
data/models/yolov8m_openvino_base_openvino_model,yolov8m,295.1,3.4,295.1078963279724,cpu,0,0,0.938966888083736,0.8350651311249138,243.6225414276123,213.05227279663086,316.9994354248047,213.0439281463623
data/models/yolov8m_openvino_half_openvino_model,yolov8m,292.7,3.4,292.67963767051697,cpu,1,0,0.9401705917874396,0.8353348229057357,239.35842514038086,216.4015769958496,312.75296211242676,215.95287322998047
data/models/yolov8m_openvino_int8_openvino_model,yolov8m,97.2,10.3,97.23838925361633,cpu,0,1,0.9392925745246105,0.8397731023966055,191.20216369628906,76.10273361206055,115.53072929382324,75.71125030517578
data/models/yolov8l_openvino_base_openvino_model,yolov8l,604.8,1.7,604.7727584838867,cpu,0,0,0.9741043613707165,0.8680387352890274,448.78649711608887,431.38575553894043,637.1300220489502,429.33058738708496
data/models/yolov8l_openvino_half_openvino_model,yolov8l,600.3,1.7,600.3079104423523,cpu,1,0,0.9757710280373831,0.8680387352890274,489.3617630004883,433.81500244140625,629.5816898345947,438.87948989868164
data/models/yolov8l_openvino_int8_openvino_model,yolov8l,191.4,5.2,191.4205253124237,cpu,0,1,0.9741116352201259,0.8634805508162721,229.9809455871582,144.70887184143066,221.47655487060547,144.7765827178955
data/models/yolov8x_openvino_base_openvino_model,yolov8x,941.6,1.1,941.553201675415,cpu,0,0,0.9772964376590331,0.8784099721313462,965.442419052124,671.8487739562988,980.6556701660156,921.6330051422119
data/models/yolov8x_openvino_half_openvino_model,yolov8x,931.3,1.1,931.2619090080261,cpu,1,0,0.9772964376590331,0.8760951573165313,979.2051315307617,675.1952171325684,963.1781578063965,916.7435169219971
data/models/yolov8x_openvino_int8_openvino_model,yolov8x,290.3,3.4,290.30665397644043,cpu,0,1,0.9789631043256998,0.9071798134011874,284.8632335662842,215.8944606781006,316.9674873352051,215.33989906311035
