model,runtime,inference_time_1,fps,inference_time,device,half,int8,map50,map75,warmup_max_inf_time,warmup_min_inf_time,inference_time_max,inference_time_min
data/models/base.pt,BASE,95.5,10.5,95.49846887588501,cpu,0,0,,,115.52548408508301,55.187225341796875,134.40918922424316,90.87443351745605
data/models/base_cube_openvino_base_openvino_model,base,40.4,24.7,40.4498553276062,cpu,0,0,,,32.09495544433594,25.501251220703125,53.36880683898926,29.814720153808594
data/models/base_cube_openvino_half_openvino_model,base,46.4,21.5,46.42847299575806,cpu,1,0,,,40.572166442871094,34.32488441467285,59.29851531982422,41.08738899230957
data/models/base_cube_openvino_int8_openvino_model,base,21.9,45.8,21.851589679718018,cpu,0,1,,,36.36503219604492,13.78178596496582,29.055118560791016,18.369436264038086
data/models/base_cube_ncnn_base_ncnn_model,base,106.9,9.4,106.85889005661011,cpu,0,0,,,104.44211959838867,85.51383018493652,156.4311981201172,102.50115394592285
data/models/base_cube_ncnn_half_ncnn_model,base,108.2,9.2,108.21335196495056,cpu,1,0,,,102.43988037109375,85.60538291931152,149.31535720825195,102.81252861022949
data/models/base_cube_ncnn_int8_ncnn_model,base,107.7,9.3,107.7118718624115,cpu,0,1,,,111.49883270263672,96.32396697998047,148.67591857910156,104.05611991882324
data/models/base_cube_onnx_base.onnx,base,76.2,13.1,76.19657158851624,cpu,0,0,,,82.18574523925781,63.59362602233887,93.1248664855957,73.57192039489746
data/models/base_cube_onnx_int8.onnx,base,75.6,13.2,75.60912847518921,cpu,0,1,,,77.54111289978027,63.95459175109863,82.29494094848633,73.0748176574707
data/models/base_cube_tflite_base.tflite,base,112.5,8.9,112.4756121635437,cpu,0,0,,,108.27374458312988,95.78680992126465,169.2197322845459,107.80048370361328
data/models/base_cube_tflite_int8.tflite,base,112.7,8.9,112.67528772354126,cpu,0,1,,,113.31439018249512,102.10609436035156,145.74027061462402,106.59480094909668
