model,runtime,inference_time_1,fps,inference_time,device,half,int8,map50,map75,warmup_max_inf_time,warmup_min_inf_time,inference_time_max,inference_time_min
data/models/yolov8n_onnx_int8.onnx,yolov8n,69.5,14.4,69.49576377868652,cpu,0,1,,,58.48050117492676,40.749549865722656,82.40914344787598,64.24403190612793
data/models/yolov8s_onnx_int8.onnx,yolov8s,180.3,5.5,180.33387541770935,cpu,0,1,,,154.8171043395996,130.21254539489746,253.96013259887695,130.36465644836426
data/models/yolov8m_onnx_int8.onnx,yolov8m,432.5,2.3,432.47884154319763,cpu,0,1,,,472.8682041168213,324.88155364990234,487.7617359161377,401.57628059387207
data/models/yolov8l_onnx_int8.onnx,yolov8l,847.6,1.2,847.6187241077423,cpu,0,1,,,865.6091690063477,557.7225685119629,966.8328762054443,792.5548553466797
data/models/yolov8x_onnx_int8.onnx,yolov8x,1270.2,0.8,1270.1818990707397,cpu,0,1,,,1418.3990955352783,1220.2255725860596,1439.683198928833,1201.2598514556885
data/models/yolov8n_ncnn_int8_ncnn_model,yolov8n,123.5,8.1,123.46319913864136,cpu,0,1,,,129.59027290344238,98.05107116699219,205.3086757659912,115.02528190612793
data/models/yolov8s_ncnn_int8_ncnn_model,yolov8s,246.8,4.1,246.76676273345947,cpu,0,1,,,243.04676055908203,219.5734977722168,311.6278648376465,231.61864280700684
data/models/yolov8m_ncnn_int8_ncnn_model,yolov8m,482.5,2.1,482.5158751010895,cpu,0,1,,,539.949893951416,447.71456718444824,635.7262134552002,448.6517906188965
data/models/yolov8l_ncnn_int8_ncnn_model,yolov8l,860.6,1.2,860.5741906166077,cpu,0,1,,,1000.8835792541504,837.6984596252441,977.4656295776367,803.537130355835
data/models/yolov8x_ncnn_int8_ncnn_model,yolov8x,1210.7,0.8,1210.6518578529358,cpu,0,1,,,1285.1531505584717,1148.2362747192383,1385.894775390625,1113.5470867156982
data/models/yolov8n_tflite_int8.tflite,yolov8n,143.3,7.0,143.3144497871399,cpu,0,1,,,136.48104667663574,107.91492462158203,190.37365913391113,127.10928916931152
data/models/yolov8s_tflite_int8.tflite,yolov8s,445.9,2.2,445.90858578681946,cpu,0,1,,,573.3721256256104,397.34458923339844,552.5012016296387,394.334077835083
data/models/yolov8m_tflite_int8.tflite,yolov8m,1239.3,0.8,1239.3421840667725,cpu,0,1,,,1434.5788955688477,1090.665340423584,1669.7661876678467,1113.879680633545
data/models/yolov8l_tflite_int8.tflite,yolov8l,2809.9,0.4,2809.9330055713654,cpu,0,1,,,3014.6872997283936,2513.0395889282227,3641.296148300171,2208.9390754699707
data/models/yolov8x_tflite_int8.tflite,yolov8x,4464.6,0.2,4464.560787677765,cpu,0,1,,,4221.264839172363,3272.332191467285,8222.196340560913,3307.4257373809814
