model,runtime,inference_time_1,fps,inference_time,device,half,int8,map50,map75,warmup_max_inf_time,warmup_min_inf_time,inference_time_max,inference_time_min
data/models/yolov8n_onnx_base.onnx,yolov8n,67.6,14.8,67.61949062347412,cpu,0,0,,,47.78647422790527,40.40193557739258,84.1069221496582,35.31193733215332
data/models/yolov8n_onnx_int8.onnx,yolov8n,68.4,14.6,68.36308240890503,cpu,0,1,,,79.7584056854248,65.08326530456543,76.98631286621094,64.94331359863281
data/models/yolov8n_onnxnosimp_base.onnx,yolov8n,83.8,11.9,83.77092838287354,cpu,0,0,,,88.53936195373535,71.02560997009277,96.21477127075195,78.29499244689941
data/models/yolov8n_onnxnosimp_int8.onnx,yolov8n,81.5,12.3,81.5140426158905,cpu,0,1,,,92.3166275024414,65.62614440917969,106.29963874816895,77.20232009887695
data/models/yolov8s_onnx_base.onnx,yolov8s,168.3,5.9,168.31522822380066,cpu,0,0,,,170.4108715057373,136.85226440429688,191.7588710784912,158.45918655395508
data/models/yolov8s_onnx_int8.onnx,yolov8s,170.3,5.9,170.33308267593384,cpu,0,1,,,169.47054862976074,134.24062728881836,193.56703758239746,159.92474555969238
data/models/yolov8m_onnx_base.onnx,yolov8m,415.6,2.4,415.5920660495758,cpu,0,0,,,389.99199867248535,285.9539985656738,501.58190727233887,390.56897163391113
data/models/yolov8m_onnx_int8.onnx,yolov8m,421.5,2.4,421.4865303039551,cpu,0,1,,,440.3116703033447,349.945068359375,467.87071228027344,389.45579528808594
data/models/yolov8l_onnx_base.onnx,yolov8l,852.1,1.2,852.1448171138763,cpu,0,0,,,837.8841876983643,548.3810901641846,1087.7430438995361,756.2108039855957
data/models/yolov8l_onnx_int8.onnx,yolov8l,824.6,1.2,824.5931613445282,cpu,0,1,,,830.1129341125488,558.574914932251,943.6321258544922,769.350528717041
data/models/yolov8x_onnx_base.onnx,yolov8x,1193.4,0.8,1193.3930706977844,cpu,0,0,,,1228.3337116241455,956.1319351196289,1486.567735671997,1087.524175643921
data/models/yolov8x_onnx_int8.onnx,yolov8x,1119.1,0.9,1119.116073846817,cpu,0,1,,,1196.5923309326172,924.9722957611084,1329.5750617980957,1078.2740116119385
