model,runtime,inference_time_1,fps,inference_time,device,half,int8,map50,map75,warmup_max_inf_time,warmup_min_inf_time,inference_time_max,inference_time_min
data/models/base.pt,BASE,238.6,4.2,238.57856035232544,cpu,0,0,,,207.88168907165527,145.1253890991211,246.98686599731445,232.10787773132324
data/models/base_cube_openvino_base_openvino_model,base,70.6,14.2,70.56261897087097,cpu,0,0,,,98.92559051513672,67.65389442443848,89.91384506225586,67.74115562438965
data/models/base_cube_openvino_half_openvino_model,base,72.9,13.7,72.8751802444458,cpu,1,0,,,82.47518539428711,70.85776329040527,75.6218433380127,71.0287094116211
data/models/base_cube_openvino_int8_openvino_model,base,43.4,23.1,43.36927056312561,cpu,0,1,,,104.96902465820312,42.679786682128906,45.89247703552246,42.558908462524414
data/models/base_cube_ncnn_base_ncnn_model,base,88.4,11.3,88.3636724948883,cpu,0,0,,,107.63907432556152,86.33041381835938,95.84212303161621,86.99226379394531
data/models/base_cube_ncnn_half_ncnn_model,base,87.9,11.4,87.89794921875,cpu,1,0,,,97.11289405822754,87.08000183105469,90.06094932556152,86.66229248046875
data/models/base_cube_ncnn_int8_ncnn_model,base,87.9,11.4,87.88481712341309,cpu,0,1,,,93.67609024047852,87.22329139709473,90.03591537475586,86.66515350341797
data/models/base_cube_onnx_base.onnx,base,85.4,11.7,85.43456077575684,cpu,0,0,,,86.16113662719727,79.10585403442383,288.2874011993408,79.30994033813477
data/models/base_cube_onnx_int8.onnx,base,83.7,11.9,83.70748043060303,cpu,0,1,,,84.87820625305176,79.67066764831543,86.61246299743652,82.67331123352051
data/models/base_cube_tflite_base.tflite,base,212.4,4.7,212.43728160858154,cpu,0,0,,,226.0909080505371,212.27049827575684,213.51122856140137,211.89308166503906
data/models/base_cube_tflite_int8.tflite,base,212.3,4.7,212.30252027511597,cpu,0,1,,,225.48270225524902,211.98248863220215,213.05251121520996,211.75003051757812
